class1	class2	scaledPatristicDistance
1	0	0.0325205
2	0	0.0325205
2	1	0.0325205
3	0	0.0325205
3	1	0.0325205
3	2	0.0325205
4	0	0.0325205
4	1	0.0325205
4	2	0.0325205
4	3	0.0325205
5	0	0.0325205
5	1	0.0325205
5	2	0.0325205
5	3	0.0325205
5	4	0.0325205
6	0	0.0325205
6	1	0.0325205
6	2	0.0325205
6	3	0.0325205
6	4	0.0325205
6	5	0.0325205
7	0	0.0325205
7	1	0.0325205
7	2	0.0325205
7	3	0.0325205
7	4	0.0325205
7	5	0.0325205
7	6	0.0325205
8	0	0.0325205
8	1	0.0325205
8	2	0.0325205
8	3	0.0325205
8	4	0.0325205
8	5	0.0325205
8	6	0.0325205
8	7	0.0325205
9	0	0.0325205
9	1	0.0267365
9	2	0.0267365
9	3	0.0269282
9	4	0.0259562
9	5	0.0259562
9	6	0.0265182
9	7	0.0265025
9	8	0.0256653
10	0	0.0253095
10	1	0.0252938
10	2	0.0254241
10	3	0.0271936
10	4	0.0272909
10	5	0.027472
10	6	0.0274878
10	7	0.0277506
10	8	0.0277506
10	9	0.0286803
11	0	0.0278566
11	1	0.0266055
11	2	0.0266213
11	3	0.0274397
11	4	0.0274239
11	5	0.0271128
11	6	0.0271286
11	7	0.0279839
11	8	0.026384
11	9	0.0263683
11	10	0.0267853
12	0	0.0267853
12	1	0.0271763
12	2	0.027029
12	3	0.0270132
12	4	0.0273908
12	5	0.0260452
12	6	0.0260295
12	7	0.0267601
12	8	0.0270553
12	9	0.0270553
12	10	0.0276889
12	11	0.0282877
13	0	0.0284657
13	1	0.0278931
13	2	0.0266478
13	3	0.0261892
13	4	0.0261892
13	5	0.028525
13	6	0.0273255
13	7	0.0273412
13	8	0.0291218
13	9	0.0287449
13	10	0.0271522
13	11	0.0271522
13	12	0.0274066
14	0	0.028543
14	1	0.0288934
14	2	0.0285667
14	3	0.0285667
14	4	0.0284296
14	5	0.0284453
14	6	0.0294437
14	7	0.0262535
14	8	0.0262535
14	9	0.0274555
14	10	0.0276666
14	11	0.0270876
14	12	0.0277981
14	13	0.0280312
15	0	0.0291468
15	1	0.0272416
15	2	0.0272574
15	3	0.0294895
15	4	0.0293602
15	5	0.0277047
15	6	0.0277204
15	7	0.0289537
15	8	0.0286307
15	9	0.028499
15	10	0.0288745
15	11	0.0272093
15	12	0.0272251
15	13	0.0280635
15	14	0.0280477
16	0	0.0282179
16	1	0.0282179
16	2	0.0286138
16	3	0.0295352
16	4	0.0255062
16	5	0.0255062
16	6	0.0258391
16	7	0.0257691
16	8	0.0257533
16	9	0.0281758
16	10	0.0280792
16	11	0.0276316
16	12	0.0265679
16	13	0.0265836
16	14	0.0261175
16	15	0.0261018
17	0	0.0283454
17	1	0.0279346
17	2	0.0259264
17	3	0.0259106
17	4	0.0278408
17	5	0.0283855
17	6	0.0283855
17	7	0.0250911
17	8	0.0251069
17	9	0.0264006
17	10	0.0264479
17	11	0.0264321
17	12	0.0264163
17	13	0.0269478
17	14	0.0275743
17	15	0.0275208
17	16	0.0275051
18	0	0.0281923
18	1	0.0282696
18	2	0.029168
18	3	0.0292541
18	4	0.0258556
18	5	0.0256983
18	6	0.0268632
18	7	0.0253741
18	8	0.0253584
18	9	0.0253899
18	10	0.0255618
18	11	0.0260794
18	12	0.0260637
18	13	0.026316
18	14	0.0264636
18	15	0.0275577
18	16	0.0279996
18	17	0.0280154
19	0	0.0293295
19	1	0.025073
19	2	0.0250092
19	3	0.0247715
19	4	0.0247557
19	5	0.0251234
19	6	0.0251888
19	7	0.024873
19	8	0.0248888
19	9	0.0250257
19	10	0.0250415
19	11	0.0251392
19	12	0.0249934
19	13	0.0249776
19	14	0.0252768
19	15	0.0254618
19	16	0.0255958
19	17	0.0256457
19	18	0.0253411
20	0	0.0253253
20	1	0.0262787
20	2	0.0251715
20	3	0.0251557
20	4	0.0252399
20	5	0.0254807
20	6	0.0264867
20	7	0.0256133
20	8	0.0256291
20	9	0.0260137
20	10	0.0248504
20	11	0.0248346
20	12	0.0248188
20	13	0.0247396
20	14	0.0247081
